iter	Logloss
0	0.6684908024
1	0.6473152287
2	0.6301842944
3	0.6099791435
4	0.5928931422
5	0.5788398337
6	0.5664743831
7	0.5560134054
8	0.5449953109
9	0.5350870014
10	0.5259774415
11	0.5173411801
12	0.5079766462
13	0.4997022898
14	0.4923216113
15	0.4855090438
16	0.4792330723
17	0.4726979603
18	0.4668410961
19	0.4619381648
20	0.4576396383
21	0.453883378
22	0.4489605568
23	0.4449780595
24	0.4414246639
25	0.4373163649
26	0.4319500772
27	0.4280965067
28	0.4250637436
29	0.42223272
30	0.4189166328
31	0.4151565686
32	0.4121113689
33	0.4089566509
34	0.4064563694
35	0.4048402864
36	0.4029711912
37	0.4003760345
38	0.3975025745
39	0.396033585
40	0.3939080425
41	0.390353485
42	0.3876279242
43	0.3857790789
44	0.383637982
45	0.3823974583
46	0.3794133021
47	0.3780631558
48	0.3767633389
49	0.3752743869
50	0.3728907156
51	0.3711775382
52	0.3696997083
53	0.3680285571
54	0.3661609301
55	0.3647781494
56	0.3636508655
57	0.3620480829
58	0.3605830174
59	0.3585038163
60	0.3565247715
61	0.3558573887
62	0.354691404
63	0.3530465032
64	0.3512223642
65	0.350240663
66	0.348199989
67	0.3460453282
68	0.3443867237
69	0.3430310388
70	0.3418763919
71	0.3403845828
72	0.3393857659
73	0.3382945059
74	0.3371049325
75	0.335881791
76	0.3347847059
77	0.3335507946
78	0.3316017633
79	0.3303698163
80	0.3287163696
81	0.3273418847
82	0.3260201184
83	0.3251841852
84	0.3239701285
85	0.3228683849
86	0.3214088795
87	0.3206086954
88	0.3193959803
89	0.3177613491
90	0.3165126286
91	0.3155851675
92	0.3146713452
93	0.313982651
94	0.3118266677
95	0.3110732267
96	0.3097728362
97	0.3089168255
98	0.3073334328
99	0.3064090119
