iter	Passed	Remaining
0	1	110
1	1	93
2	2	86
3	3	85
4	4	88
5	5	87
6	6	83
7	7	81
8	7	80
9	8	78
10	9	76
11	10	75
12	11	75
13	12	74
14	12	73
15	14	74
16	15	73
17	15	72
18	16	71
19	17	69
20	18	68
21	18	66
22	19	65
23	20	64
24	23	69
25	35	101
26	36	99
27	37	97
28	39	96
29	41	96
30	42	95
31	43	93
32	44	90
33	45	88
34	46	85
35	46	83
36	47	80
37	48	78
38	48	76
39	49	74
40	50	72
41	51	70
42	52	69
43	53	68
44	55	67
45	56	65
46	57	64
47	57	62
48	58	61
49	59	59
50	59	57
51	60	56
52	61	54
53	62	52
54	62	51
55	63	50
56	64	48
57	65	47
58	65	45
59	66	44
60	67	43
61	68	41
62	69	40
63	70	39
64	71	38
65	72	37
66	73	36
67	73	34
68	74	33
69	75	32
70	76	31
71	76	29
72	77	28
73	78	27
74	78	26
75	79	25
76	80	24
77	81	22
78	82	21
79	82	20
80	83	19
81	84	18
82	84	17
83	85	16
84	86	15
85	86	14
86	88	13
87	89	12
88	89	11
89	90	10
90	91	9
91	91	7
92	92	6
93	93	5
94	94	4
95	94	3
96	95	2
97	96	1
98	97	0
99	97	0
